# FutaGTNH 拼音表（供搜索用）
#
# 由 mozillazg/pinyin-data 的 pinyin.txt 生成，该数据以 MIT 许可发布，
# 其上游为 Unicode 联盟的 Unihan 数据库（Unicode License）。
# 来源：https://github.com/mozillazg/pinyin-data
#
# 格式：每行「<码点十六进制> <读音>[,<读音>...]」
# 声调已去掉（铁 tiě -> tie）；ü 统一记作 v（女 nǚ -> nv）。
# 多音字保留最多 3 个读音，用逗号分隔，第一个是最常用的。
3400 qiu
3401 tian
3404 kua
3405 wu
3406 yin
340C yi
3416 xie
341C chou
3421 nuo
3424 dan,qiu
3428 xu
3429 xing
342B xiong
342C liu
342D lin
342E xiang
342F yong
3430 xin
3431 zhen
3432 dai
3433 wu
3434 pan
3435 ru
3437 ma
3438 qian,ci
3439 yi
343A yin,zhong
343B nei
343C cheng
343D feng
3441 zhuo
3442 fang
3443 ao
3444 wu
3445 zuo
3447 zhou
3448 dong
3449 su
344A yi
344B qiong
344C kuang,wang
344D lei
344E nao
344F zhu
3450 shu
3454 xu
3457 shen
3458 jie
3459 die
345A nuo
345B su
345C yi,chi
345D long
345E ying
345F beng
3463 lan
3464 miao
3465 yi
3466 li
3467 ji
3468 yu
3469 luo
346A chai
346E hun
346F xu
3470 hui
3471 rao
3473 zhou,zhu
3475 han
3476 xi
3477 tai
3478 yao
3479 hui
347A jun
347B ma
347C lve
347D tang
347E yao
347F zhao
3480 zhai,zha
3481 yu
3482 zhuo
3483 er
3484 ran
3485 qi
3486 chi
3487 wu
3488 han
3489 tang
348A se
348B si
348C qiong
348D lei
348E sa
3491 kui,hui
3492 pu
3493 ta
3494 shu,du,tu
3495 yang
3496 ou
3497 tai
3499 mian
349A yin,wen
349B diao
349C yu
349D mie,wa
349E jun
349F niao
34A0 xie
34A1 you
34A4 che
34A5 feng
34A6 lei
34A7 li
34A9 luo
34AB ji
34B0 quan
34B2 cai
34B3 liang
34B4 gu
34B5 mao
34B7 gua
34B8 sui
34BB mao
34BC man
34BD quan
34BE shi
34BF li
34C1 wang
34C2 kou
34C3 du
34C4 zhen
34C5 ting
34C8 bing
34C9 huo
34CA dong
34CB gong
34CC cheng
34CE qin
34CF jiong
34D0 lu
34D1 xing
34D3 nan
34D4 xie
34D6 bi
34D7 jie
34D8 su
34DA gong
34DC you
34DD xing
34DE qia
34DF pi
34E0 dian
34E1 fu,gua
34E2 luo
34E3 qia,ge
34E4 qia
34E5 tang
34E6 bai
34E7 gan
34E8 ci
34E9 xuan,jie
34EA lang
34ED she
34EE diao
34EF li
34F0 hua
